Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006260~DNA replication	41	5.718270571827057	4.348016978068641E-22	CLSPN, BLM, TICRR, KIAA0101, CHEK1, MCM10, CDT1, CDC45, MCM8, MCM7, POLE2, ORC6, ORC1, FEN1, EXO1, CDC7, CDK1, GINS2, CDC6, DTL, GINS4, BRIP1, IGF1, MCM2, MCM3, RNASEH2A, MCM4, MCM5, BRCA1, CDK2, CDC25A, MCM6, DNA2, RFC3, RFC4, TIMELESS, RFC2, RRM2, RRM1, PCNA, CHAF1B	659	155	16792	6.740143913064761	1.250924484590348E-18	1.250924484590348E-18	7.792853891354524E-19
GOTERM_BP_DIRECT	GO:0051301~cell division	58	8.089260808926081	2.3787040044818862E-20	KIFC1, BORA, KNTC1, AURKA, PTTG1, CCNE2, KIF2C, CDCA2, MASTL, CDCA5, CCNA2, TUBA1C, CDCA3, CDC7, KIF14, CDK1, CDC6, KIF11, TPX2, TACC3, UBE2C, NCAPD3, CDK2, MCM5, NCAPD2, MAD2L1, TIMELESS, SPAG5, SGO1, ZWINT, BUB1B, UBE2S, CKS1B, NEK2, SPC25, NCAPH, NCAPG2, NCAPG, BUB1, SKA3, ZWILCH, HELLS, ERCC6L, NUF2, CENPF, NDC80, SPDL1, CDC20, CENPE, KNSTRN, SMC2, CDC25A, SMC4, CCNB1, CCNB2, KNL1, KIF20B, CKS2	659	350	16792	4.222570995014091	6.843531420894387E-17	3.4217657104471935E-17	4.263298154355693E-17
GOTERM_BP_DIRECT	GO:0000082~G1/S transition of mitotic cell cycle	30	4.184100418410042	1.2884306395861146E-17	IQGAP3, MCM10, CDT1, CCNE2, PRIM1, TYMS, CDC45, MCM8, MCM7, CDKN2A, POLE2, ORC6, RANBP1, ORC1, CDCA5, CDC7, CDC6, CDK1, SKP2, MCM2, CDKN3, MCM3, MCM4, CDK2, CDC25A, MCM5, MCM6, DHFR, RRM2, PCNA	659	102	16792	7.494421137195394	3.706814950089252E-14	1.235604983363084E-14	2.3092255099470643E-14
GOTERM_BP_DIRECT	GO:0007067~mitotic nuclear division	43	5.997210599721059	7.407797795718401E-16	NEK2, BORA, KNTC1, ANLN, AURKA, CEP55, AURKB, PTTG1, SPC25, KIF2C, NCAPG2, CDCA2, BUB1, SKA3, MASTL, ZWILCH, CCNA2, CDCA5, HELLS, ASPM, CDCA3, ERCC6L, CDK1, CDC6, CENPN, KIF11, KIF15, NUF2, TPX2, CENPF, NDC80, CDC20, PBK, GEM, CDK2, CDC25A, CCNB2, TIMELESS, KNL1, PLK1, SGO1, KIF20B, BUB1B	659	248	16792	4.4180821381369615	2.2358781492926028E-12	5.589972928987663E-13	1.3877787807814457E-12
GOTERM_BP_DIRECT	GO:0007062~sister chromatid cohesion	27	3.765690376569038	1.598673098426346E-14	KNTC1, AURKB, KIF2C, SPC25, BUB1, ZWILCH, CDCA5, ERCC6L, CENPO, CENPN, CENPL, KIF18A, NUF2, CENPF, SPDL1, NDC80, CDC20, CENPE, CENPK, CENPI, MAD2L1, PLK1, SGO1, KNL1, ZWINT, BUB1B, CENPU	659	103	16792	6.679493790238225	4.5995207642590685E-11	9.199085937439122E-12	2.865485626557529E-11
GOTERM_BP_DIRECT	GO:0030198~extracellular matrix organization	36	5.02092050209205	4.0430392746187774E-14	LUM, TNC, COL3A1, POSTN, DCN, DDR2, SPINK5, ABI3BP, SMOC2, LAMB2, HPSE2, CRISPLD2, COL6A3, COL6A2, COL6A1, FBN1, CCDC80, NID1, SPARC, COL5A2, NDNF, KDR, LAMA2, VWF, ITGA9, LAMA4, FBLN1, COL14A1, BGN, ITGA8, FBLN5, PECAM1, VCAN, COL1A1, JAM2, JAM3	659	196	16792	4.68018952649345	1.1626566376321534E-10	1.9377610627202557E-11	7.243095012654521E-11
GOTERM_BP_DIRECT	GO:0006270~DNA replication initiation	16	2.2315202231520224	2.0530628718442884E-13	CDC7, CDC6, GINS4, MCM2, MCM10, MCM3, MCM4, MCM5, MCM6, PRIM1, CCNE2, CDC45, MCM7, POLE2, ORC6, ORC1	659	32	16792	12.740515933232171	5.905912425774318E-10	8.437017751106168E-11	3.6791680813053063E-10
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	48	6.694560669456067	1.7670939977403558E-9	TNC, IGFBP7, POSTN, MMRN1, DDR2, CXCL12, SEMA5A, ISLR, LAMB2, SORBS1, CTGF, FAP, COL6A3, COL6A2, COL6A1, GPNMB, ENTPD1, THBS2, DPT, SPON1, SELP, CLCA2, OLR1, PCDHB4, MFGE8, SSPN, GAS6, PCDH18, THY1, LAMA2, NCAM1, VWF, ITGA9, LYVE1, LAMA4, OMD, PGM5, DSG2, CD34, ITGA8, PECAM1, DSC2, CNTN4, VCAN, COL1A1, MFAP4, AOC3, CDH11	659	459	16792	2.664683071002807	5.083916596038129E-6	6.354909879435766E-7	3.167123174829811E-6
GOTERM_BP_DIRECT	GO:0018149~peptide cross-linking	15	2.092050209205021	4.452045551780049E-9	F13A1, COL3A1, LCE3D, SPRR2G, SPRR2F, SPRR2E, CRCT1, SPRR1A, SPRR1B, SPRR2A, SPRR2B, TGM2, SPRR3, TGM3, CSTA	659	50	16792	7.644309559939302	1.2808452931944991E-5	1.4231695385502618E-6	7.979301608340705E-6
GOTERM_BP_DIRECT	GO:0007059~chromosome segregation	17	2.3709902370990235	5.672895690408414E-9	CENPN, KIF11, NEK2, NUF2, CENPF, NDC80, CENPE, KNSTRN, ESCO2, BRCA1, SPC25, SPAG5, SGO1, HJURP, CDCA2, SKA3, TOP2A	659	68	16792	6.370257966616084	1.6320787814882998E-5	1.632090768199923E-6	1.0167404018712745E-5
