Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04110:Cell cycle	30	4.184100418410042	3.0965999359509764E-14	TGFB3, TTK, CHEK1, PTTG1, CCNE2, CDC45, MCM7, CDKN2A, BUB1, ORC6, CCNA2, ORC1, CDC7, CDK1, CDC6, SKP2, CDC20, MCM2, MCM3, MCM4, CDK2, CDC25A, MCM5, MCM6, CCNB1, CCNB2, MAD2L1, PLK1, PCNA, BUB1B	299	124	6879	5.566134426583234	6.845524147536253E-12	6.845524147536253E-12	3.9457326295178063E-11
KEGG_PATHWAY	hsa03030:DNA replication	15	2.092050209205021	9.729479114683387E-11	MCM2, RNASEH2A, MCM3, MCM4, MCM5, MCM6, PRIM1, DNA2, RFC3, RFC4, MCM7, POLE2, RFC2, PCNA, FEN1	299	36	6879	9.586120401337793	2.1502159164299428E-8	1.0751079582149714E-8	1.2394082427036324E-7
KEGG_PATHWAY	hsa04510:Focal adhesion	26	3.626220362622036	2.4726282436681615E-6	TNC, COL3A1, LAMB2, COL6A3, COL6A2, COL6A1, PDGFC, PDGFD, SHC3, THBS2, PIK3R1, AKT3, FLT1, IGF1, MAPK10, COL5A2, KDR, LAMA2, ITGA9, VWF, LAMA4, ITGA8, JUN, PDGFRA, COL1A1, MYLK	299	206	6879	2.9037568594343606	5.463022400077344E-4	1.821339174191694E-4	0.003149757346454507
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	15	2.092050209205021	1.8729763127148228E-5	TNC, COL3A1, COL5A2, HMMR, LAMA2, VWF, ITGA9, LAMA4, LAMB2, ITGA8, COL6A3, COL6A2, COL6A1, COL1A1, THBS2	299	87	6879	3.966670510898397	0.004130761253472004	0.0010342938528651313	0.023856631239471682
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	33	4.602510460251046	3.185232645392653E-5	FGF7, TNC, COL3A1, FGF10, KIT, LPAR1, CCNE2, LAMB2, TEK, COL6A3, COL6A2, COL6A1, GYS2, PDGFC, PDGFD, THBS2, AKT3, PIK3R1, FLT1, IGF1, COL5A2, BRCA1, CDK2, KDR, LAMA2, VWF, ITGA9, LAMA4, PRLR, LPAR6, ITGA8, PDGFRA, COL1A1	299	345	6879	2.200639813872328	0.007014757182898346	0.0014069046321850687	0.04056808823758029
KEGG_PATHWAY	hsa04610:Complement and coagulation cascades	13	1.813110181311018	3.352435064790576E-5	C7, A2M, F10, MASP1, C3, F13A1, SERPING1, C1R, C1S, VWF, CFH, SERPINA1, CFD	299	69	6879	4.334593572778828	0.007381626661143281	0.001234072186688584	0.04269720991936232
KEGG_PATHWAY	hsa04914:Progesterone-mediated oocyte maturation	14	1.9525801952580195	8.280162289163802E-5	CDK1, IGF1, MAPK10, CDC25A, CDK2, PGR, CCNB1, CCNB2, MAD2L1, PLK1, BUB1, CCNA2, AKT3, PIK3R1	299	87	6879	3.702225810171837	0.018133489577234485	0.0026108595195304396	0.10542712697926282
KEGG_PATHWAY	hsa04114:Oocyte meiosis	15	2.092050209205021	2.84985450865169E-4	CDK1, AR, IGF1, AURKA, CDC20, PTTG1, CDK2, CCNB1, CCNE2, PGR, CCNB2, MAD2L1, SGO1, PLK1, BUB1	299	111	6879	3.109012022055501	0.06104785117746636	0.007842927580575254	0.3624273492141228
KEGG_PATHWAY	hsa05150:Staphylococcus aureus infection	10	1.394700139470014	4.5305244713304756E-4	SELP, MASP1, C3, DSG1, CFH, HLA-DPA1, C1R, C1S, HLA-DPB1, CFD	299	54	6879	4.26049795615013	0.09529583526198604	0.011065794034143428	0.5755970397601673
KEGG_PATHWAY	hsa05200:Pathways in cancer	32	4.463040446304045	7.92769731905346E-4	CKS1B, FGF7, TGFB3, FGF10, ZBTB16, KIT, LPAR1, MMP2, CXCL12, EDNRA, CCNE2, FOS, CDKN2A, LAMB2, AKT3, PIK3R1, AR, PTGER2, TGFBR2, RUNX1T1, SKP2, BRCA2, IGF1, MAPK10, CDK2, RAD51, LAMA2, LAMA4, LPAR6, JUN, CKS2, PDGFRA	299	393	6879	1.873318185299599	0.16077094055368835	0.017374452310204513	1.005198613626912
