ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
7951165	9.23E-12	2.77E-16	2.51E+01	25.36167	5.08	PGR	progesterone receptor
8109049	5.36E-11	3.22E-15	2.20E+01	23.53703	5.09	SPINK7	serine peptidase inhibitor, Kazal type 7 (putative)
7937612	1.22E-10	1.10E-14	2.06E+01	22.57535	5.3	MUC5B	mucin 5B, oligomeric mucus/gel-forming
7920178	2.66E-09	3.21E-13	1.72E+01	19.78645	5.82	CRNN	cornulin
8150428	2.66E-09	4.79E-13	1.68E+01	19.44345	4.44	SFRP1	secreted frizzled related protein 1
7923929	2.66E-09	4.80E-13	1.68E+01	19.44189	5.64	PIGR	polymeric immunoglobulin receptor
7965873	3.14E-09	7.02E-13	1.65E+01	19.1138	3.66	IGF1	insulin like growth factor 1
8147891	3.14E-09	7.55E-13	1.64E+01	19.04973	2.71	PKHD1L1	polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1
8162373	7.57E-09	2.05E-12	1.55E+01	18.17765	5.09	OGN	osteoglycin
8135218	8.53E-09	2.56E-12	1.53E+01	17.97914	3.03	LRRC17	leucine rich repeat containing 17
8126905	8.63E-09	2.85E-12	1.52E+01	17.88399	6.12	CRISP3	cysteine rich secretory protein 3
8148070	1.27E-08	4.58E-12	1.48E+01	17.46132	4.99	COL14A1	collagen type XIV alpha 1 chain
8102587	3.33E-08	1.30E-11	1.40E+01	16.52344	2.46	NDNF	neuron derived neurotrophic factor
8092970	5.90E-08	2.48E-11	1.35E+01	15.93457	6.05	APOD	apolipoprotein D
7991283	6.54E-08	3.13E-11	1.33E+01	15.72097	6.18	RHCG	Rh family C glycoprotein
8094184	6.54E-08	3.14E-11	1.33E+01	15.71863	2.97	C1QTNF7	C1q and tumor necrosis factor related protein 7
7978391	6.61E-08	3.38E-11	1.33E+01	15.65227	2.14	NOVA1	NOVA alternative splicing regulator 1
8122843	8.09E-08	4.37E-11	1.31E+01	15.41423	4.11	ESR1	estrogen receptor 1
8013341	8.86E-08	5.06E-11	1.30E+01	15.28095	4.36	MFAP4	microfibrillar associated protein 4
8100701	1.14E-07	6.85E-11	1.27E+01	15.00061	4.43	TMPRSS11B	transmembrane protease, serine 11B
7905486	1.28E-07	8.40E-11	1.26E+01	14.81122	4.7	CRCT1	cysteine rich C-terminal 1
8101957	1.28E-07	8.48E-11	1.26E+01	14.80303	3.76	EMCN	endomucin
7983630	1.29E-07	8.94E-11	1.25E+01	14.75401	3.27	FGF7	fibroblast growth factor 7
8037179	1.51E-07	1.09E-10	1.24E+01	14.56889	4.76	CNFN	cornifelin
7983867	1.55E-07	1.18E-10	1.23E+01	14.49582	3.35	CGNL1	cingulin like 1
8094441	1.55E-07	1.21E-10	1.23E+01	14.47468	3.94	SLC34A2///SLC34A2	solute carrier family 34 member 2///solute carrier family 34 member 2
8014974	3.43E-07	2.78E-10	-1.17E+01	13.6944	-4.43	TOP2A	topoisomerase (DNA) II alpha
8059680	3.59E-07	3.05E-10	1.17E+01	13.60685	2.34	HTR2B	5-hydroxytryptamine receptor 2B
7938608	3.59E-07	3.12E-10	1.17E+01	13.58568	2.94	SPON1	spondin 1
7963555	4.37E-07	3.94E-10	1.15E+01	13.36729	2.71	KRT78	keratin 78
7919612	5.10E-07	4.75E-10	-1.14E+01	13.19162	-2.72	HIST2H3D///HIST2H3A///HIST2H3C	histone cluster 2, H3d///histone cluster 2, H3a///histone cluster 2, H3c
8040292	5.47E-07	5.33E-10	1.13E+01	13.08285	2.48	GREB1	growth regulation by estrogen in breast cancer 1
8138381	5.47E-07	5.42E-10	1.13E+01	13.06664	5.08	AGR2	anterior gradient 2, protein disulphide isomerase family member
8121949	5.88E-07	6.00E-10	1.12E+01	12.97017	3.7	LAMA2	laminin subunit alpha 2
8088848	6.25E-07	6.57E-10	1.12E+01	12.88508	3.32	PDZRN3	PDZ domain containing ring finger 3
7949588	8.89E-07	9.61E-10	1.09E+01	12.5239	2.88	CD248	CD248 molecule
8057506	9.35E-07	1.06E-09	1.09E+01	12.42791	3.62	FRZB	frizzled-related protein
8099524	9.35E-07	1.07E-09	1.09E+01	12.42507	3.08	LDB2	LIM domain binding 2
8111490	9.78E-07	1.14E-09	1.08E+01	12.35782	3.58	PRLR	prolactin receptor
8139087	1.03E-06	1.24E-09	1.08E+01	12.28379	7.43	SFRP4	secreted frizzled related protein 4
8143663	1.03E-06	1.27E-09	-1.07E+01	12.25814	-3	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit
8020724	1.05E-06	1.33E-09	1.07E+01	12.21529	4.76	DSG1	desmoglein 1
7909568	1.05E-06	1.36E-09	-1.07E+01	12.19415	-4.29	DTL	denticleless E3 ubiquitin protein ligase homolog
8125234	1.10E-06	1.45E-09	1.07E+01	12.13	2.33	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
7957221	1.20E-06	1.62E-09	1.06E+01	12.0251	2.76	TRHDE	thyrotropin releasing hormone degrading enzyme
7961673	1.21E-06	1.68E-09	1.06E+01	11.99514	2.11	GYS2	glycogen synthase 2
7983306	1.22E-06	1.72E-09	-1.05E+01	11.96946	-2.7	WDR76	WD repeat domain 76
7927606	1.26E-06	1.85E-09	1.05E+01	11.9002	2.45	PRKG1	protein kinase, cGMP-dependent, type I
7970241	1.26E-06	1.88E-09	1.05E+01	11.8845	2.3	F10	coagulation factor X
7930837	1.26E-06	1.97E-09	1.05E+01	11.84011	3.25	SLC18A2	solute carrier family 18 member A2
8146794	1.26E-06	1.97E-09	1.05E+01	11.83966	2.88	PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2
8046099	1.40E-06	2.24E-09	1.04E+01	11.71628	2.32	NOSTRIN	nitric oxide synthase trafficking
7984588	1.40E-06	2.29E-09	1.04E+01	11.69892	3.15	THSD4	thrombospondin type 1 domain containing 4
8155864	1.40E-06	2.34E-09	1.04E+01	11.67642	2.01	RORB	RAR related orphan receptor B
7989199	1.40E-06	2.36E-09	1.04E+01	11.66772	2.67	ALDH1A2	aldehyde dehydrogenase 1 family member A2
8112376	1.40E-06	2.42E-09	-1.03E+01	11.64461	-3.52	CENPK	centromere protein K
8143772	1.40E-06	2.43E-09	1.03E+01	11.63978	2.79	RARRES2	retinoic acid receptor responder 2
7947512	1.43E-06	2.53E-09	1.03E+01	11.60356	4.46	PAMR1	peptidase domain containing associated with muscle regeneration 1
8049187	1.45E-06	2.60E-09	1.03E+01	11.57414	2.07	EFHD1	EF-hand domain family member D1
8068024	1.56E-06	2.85E-09	1.02E+01	11.48718	3.06	JAM2	junctional adhesion molecule 2
