"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"7951165"	"9.23e-12"	"2.77e-16"	"2.51e+01"	"25.36167"	"5.08"	"PGR"	"progesterone receptor"
"8109049"	"5.36e-11"	"3.22e-15"	"2.20e+01"	"23.53703"	"5.09"	"SPINK7"	"serine peptidase inhibitor, Kazal type 7 (putative)"
"7937612"	"1.22e-10"	"1.10e-14"	"2.06e+01"	"22.57535"	"5.30"	"MUC5B"	"mucin 5B, oligomeric mucus/gel-forming"
"7920178"	"2.66e-09"	"3.21e-13"	"1.72e+01"	"19.78645"	"5.82"	"CRNN"	"cornulin"
"8150428"	"2.66e-09"	"4.79e-13"	"1.68e+01"	"19.44345"	"4.44"	"SFRP1"	"secreted frizzled related protein 1"
"7923929"	"2.66e-09"	"4.80e-13"	"1.68e+01"	"19.44189"	"5.64"	"PIGR"	"polymeric immunoglobulin receptor"
"7965873"	"3.14e-09"	"7.02e-13"	"1.65e+01"	"19.1138"	"3.66"	"IGF1"	"insulin like growth factor 1"
"8147891"	"3.14e-09"	"7.55e-13"	"1.64e+01"	"19.04973"	"2.71"	"PKHD1L1"	"polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1"
"8162373"	"7.57e-09"	"2.05e-12"	"1.55e+01"	"18.17765"	"5.09"	"OGN"	"osteoglycin"
"8135218"	"8.53e-09"	"2.56e-12"	"1.53e+01"	"17.97914"	"3.03"	"LRRC17"	"leucine rich repeat containing 17"
"8126905"	"8.63e-09"	"2.85e-12"	"1.52e+01"	"17.88399"	"6.12"	"CRISP3"	"cysteine rich secretory protein 3"
"8148070"	"1.27e-08"	"4.58e-12"	"1.48e+01"	"17.46132"	"4.99"	"COL14A1"	"collagen type XIV alpha 1 chain"
"8102587"	"3.33e-08"	"1.30e-11"	"1.40e+01"	"16.52344"	"2.46"	"NDNF"	"neuron derived neurotrophic factor"
"8092970"	"5.90e-08"	"2.48e-11"	"1.35e+01"	"15.93457"	"6.05"	"APOD"	"apolipoprotein D"
"7991283"	"6.54e-08"	"3.13e-11"	"1.33e+01"	"15.72097"	"6.18"	"RHCG"	"Rh family C glycoprotein"
"8094184"	"6.54e-08"	"3.14e-11"	"1.33e+01"	"15.71863"	"2.97"	"C1QTNF7"	"C1q and tumor necrosis factor related protein 7"
"7978391"	"6.61e-08"	"3.38e-11"	"1.33e+01"	"15.65227"	"2.14"	"NOVA1"	"NOVA alternative splicing regulator 1"
"8122843"	"8.09e-08"	"4.37e-11"	"1.31e+01"	"15.41423"	"4.11"	"ESR1"	"estrogen receptor 1"
"8013341"	"8.86e-08"	"5.06e-11"	"1.30e+01"	"15.28095"	"4.36"	"MFAP4"	"microfibrillar associated protein 4"
"8100701"	"1.14e-07"	"6.85e-11"	"1.27e+01"	"15.00061"	"4.43"	"TMPRSS11B"	"transmembrane protease, serine 11B"
"7905486"	"1.28e-07"	"8.40e-11"	"1.26e+01"	"14.81122"	"4.70"	"CRCT1"	"cysteine rich C-terminal 1"
"8101957"	"1.28e-07"	"8.48e-11"	"1.26e+01"	"14.80303"	"3.76"	"EMCN"	"endomucin"
"7983630"	"1.29e-07"	"8.94e-11"	"1.25e+01"	"14.75401"	"3.27"	"FGF7"	"fibroblast growth factor 7"
"8037179"	"1.51e-07"	"1.09e-10"	"1.24e+01"	"14.56889"	"4.76"	"CNFN"	"cornifelin"
"7983867"	"1.55e-07"	"1.18e-10"	"1.23e+01"	"14.49582"	"3.35"	"CGNL1"	"cingulin like 1"
"8094441"	"1.55e-07"	"1.21e-10"	"1.23e+01"	"14.47468"	"3.94"	"SLC34A2///SLC34A2"	"solute carrier family 34 member 2///solute carrier family 34 member 2"
"8014974"	"3.43e-07"	"2.78e-10"	"-1.17e+01"	"13.6944"	"-4.43"	"TOP2A"	"topoisomerase (DNA) II alpha"
"8059680"	"3.59e-07"	"3.05e-10"	"1.17e+01"	"13.60685"	"2.34"	"HTR2B"	"5-hydroxytryptamine receptor 2B"
"7938608"	"3.59e-07"	"3.12e-10"	"1.17e+01"	"13.58568"	"2.94"	"SPON1"	"spondin 1"
"7963555"	"4.37e-07"	"3.94e-10"	"1.15e+01"	"13.36729"	"2.71"	"KRT78"	"keratin 78"
"7919612"	"5.10e-07"	"4.75e-10"	"-1.14e+01"	"13.19162"	"-2.72"	"HIST2H3D///HIST2H3A///HIST2H3C"	"histone cluster 2, H3d///histone cluster 2, H3a///histone cluster 2, H3c"
"8040292"	"5.47e-07"	"5.33e-10"	"1.13e+01"	"13.08285"	"2.48"	"GREB1"	"growth regulation by estrogen in breast cancer 1"
"8138381"	"5.47e-07"	"5.42e-10"	"1.13e+01"	"13.06664"	"5.08"	"AGR2"	"anterior gradient 2, protein disulphide isomerase family member"
"8121949"	"5.88e-07"	"6.00e-10"	"1.12e+01"	"12.97017"	"3.70"	"LAMA2"	"laminin subunit alpha 2"
"8088848"	"6.25e-07"	"6.57e-10"	"1.12e+01"	"12.88508"	"3.32"	"PDZRN3"	"PDZ domain containing ring finger 3"
"7949588"	"8.89e-07"	"9.61e-10"	"1.09e+01"	"12.5239"	"2.88"	"CD248"	"CD248 molecule"
"8057506"	"9.35e-07"	"1.06e-09"	"1.09e+01"	"12.42791"	"3.62"	"FRZB"	"frizzled-related protein"
"8099524"	"9.35e-07"	"1.07e-09"	"1.09e+01"	"12.42507"	"3.08"	"LDB2"	"LIM domain binding 2"
"8111490"	"9.78e-07"	"1.14e-09"	"1.08e+01"	"12.35782"	"3.58"	"PRLR"	"prolactin receptor"
"8139087"	"1.03e-06"	"1.24e-09"	"1.08e+01"	"12.28379"	"7.43"	"SFRP4"	"secreted frizzled related protein 4"
"8143663"	"1.03e-06"	"1.27e-09"	"-1.07e+01"	"12.25814"	"-3.00"	"EZH2"	"enhancer of zeste 2 polycomb repressive complex 2 subunit"
"8020724"	"1.05e-06"	"1.33e-09"	"1.07e+01"	"12.21529"	"4.76"	"DSG1"	"desmoglein 1"
"7909568"	"1.05e-06"	"1.36e-09"	"-1.07e+01"	"12.19415"	"-4.29"	"DTL"	"denticleless E3 ubiquitin protein ligase homolog"
"8125234"	"1.10e-06"	"1.45e-09"	"1.07e+01"	"12.13"	"2.33"	"TNXB///TNXA"	"tenascin XB///tenascin XA (pseudogene)"
"7957221"	"1.20e-06"	"1.62e-09"	"1.06e+01"	"12.0251"	"2.76"	"TRHDE"	"thyrotropin releasing hormone degrading enzyme"
"7961673"	"1.21e-06"	"1.68e-09"	"1.06e+01"	"11.99514"	"2.11"	"GYS2"	"glycogen synthase 2"
